vector_seed,fold,model,text_score,entity_score,phrase_score
20260725,1,AliasAwareFusion,0.5,0.42,0.08
20260725,1,WithoutText,0.0,0.62,0.38
20260725,1,WithoutEntity,0.8,0.0,0.2
20260725,1,WithoutPhrase,0.6,0.4,0.0
20260725,2,AliasAwareFusion,0.6,0.32,0.08
20260725,2,WithoutText,0.0,0.64,0.36
20260725,2,WithoutEntity,0.8,0.0,0.2
20260725,2,WithoutPhrase,0.6,0.4,0.0
20260725,3,AliasAwareFusion,0.6,0.32,0.08
20260725,3,WithoutText,0.0,0.62,0.38
20260725,3,WithoutEntity,0.86,0.0,0.14
20260725,3,WithoutPhrase,0.6,0.4,0.0
20260725,4,AliasAwareFusion,0.5,0.42,0.08
20260725,4,WithoutText,0.0,0.62,0.38
20260725,4,WithoutEntity,0.86,0.0,0.14
20260725,4,WithoutPhrase,0.6,0.4,0.0
20260725,5,AliasAwareFusion,0.6,0.32,0.08
20260725,5,WithoutText,0.0,0.62,0.38
20260725,5,WithoutEntity,0.82,0.0,0.18
20260725,5,WithoutPhrase,0.6,0.4,0.0
20260726,1,AliasAwareFusion,0.58,0.34,0.08
20260726,1,WithoutText,0.0,0.68,0.32
20260726,1,WithoutEntity,0.8,0.0,0.2
20260726,1,WithoutPhrase,0.6,0.4,0.0
20260726,2,AliasAwareFusion,0.6,0.32,0.08
20260726,2,WithoutText,0.0,0.64,0.36
20260726,2,WithoutEntity,0.8,0.0,0.2
20260726,2,WithoutPhrase,0.6,0.4,0.0
20260726,3,AliasAwareFusion,0.58,0.34,0.08
20260726,3,WithoutText,0.0,0.68,0.32
20260726,3,WithoutEntity,0.86,0.0,0.14
20260726,3,WithoutPhrase,0.64,0.36,0.0
20260726,4,AliasAwareFusion,0.58,0.34,0.08
20260726,4,WithoutText,0.0,0.68,0.32
20260726,4,WithoutEntity,0.86,0.0,0.14
20260726,4,WithoutPhrase,0.58,0.42,0.0
20260726,5,AliasAwareFusion,0.6,0.32,0.08
20260726,5,WithoutText,0.0,0.68,0.32
20260726,5,WithoutEntity,0.82,0.0,0.18
20260726,5,WithoutPhrase,0.6,0.4,0.0
20260727,1,AliasAwareFusion,0.6,0.32,0.08
20260727,1,WithoutText,0.0,0.7,0.3
20260727,1,WithoutEntity,0.8,0.0,0.2
20260727,1,WithoutPhrase,0.54,0.46,0.0
20260727,2,AliasAwareFusion,0.6,0.32,0.08
20260727,2,WithoutText,0.0,0.64,0.36
20260727,2,WithoutEntity,0.8,0.0,0.2
20260727,2,WithoutPhrase,0.6,0.4,0.0
20260727,3,AliasAwareFusion,0.6,0.32,0.08
20260727,3,WithoutText,0.0,0.7,0.3
20260727,3,WithoutEntity,0.86,0.0,0.14
20260727,3,WithoutPhrase,0.54,0.46,0.0
20260727,4,AliasAwareFusion,0.6,0.32,0.08
20260727,4,WithoutText,0.0,0.7,0.3
20260727,4,WithoutEntity,0.86,0.0,0.14
20260727,4,WithoutPhrase,0.54,0.46,0.0
20260727,5,AliasAwareFusion,0.6,0.32,0.08
20260727,5,WithoutText,0.0,0.62,0.38
20260727,5,WithoutEntity,0.82,0.0,0.18
20260727,5,WithoutPhrase,0.6,0.4,0.0
