metric,baseline,comparison,n_questions,n_source_groups,manual_mean,comparison_mean,mean_difference,cluster_bootstrap_ci95_low,cluster_bootstrap_ci95_high,group_sign_permutation_p,p_fdr_bh,significant_0.05
Strict-Hit@1,AliasAwareFusion,WithoutText,2034,221,0.7743362831858407,0.5467059980334317,0.22763028515240905,0.20122656594044297,0.2542373637879434,4.999750012499375e-05,5.99970001499925e-05,True
Strict-Hit@1,AliasAwareFusion,WithoutEntity,2034,221,0.7743362831858407,0.676007866273353,0.09832841691248771,0.07950322327044025,0.11750501217270284,4.999750012499375e-05,5.99970001499925e-05,True
Strict-Hit@1,AliasAwareFusion,WithoutPhrase,2034,221,0.7743362831858407,0.7433628318584071,0.030973451327433628,0.018995090314239665,0.04336551157338794,4.999750012499375e-05,5.99970001499925e-05,True
Strict-Hit@5,AliasAwareFusion,WithoutText,2034,221,0.9154375614552606,0.7774500163880695,0.1379875450671911,0.11666627097182652,0.16027293920753755,4.999750012499375e-05,5.99970001499925e-05,True
Strict-Hit@5,AliasAwareFusion,WithoutEntity,2034,221,0.9154375614552606,0.8328416912487709,0.08259587020648967,0.06511169861298681,0.10030504092353368,4.999750012499375e-05,5.99970001499925e-05,True
Strict-Hit@5,AliasAwareFusion,WithoutPhrase,2034,221,0.9154375614552606,0.9038020321206162,0.011635529334644379,0.003565970453387672,0.019860184302510322,0.006549672516374182,0.006549672516374182,True
Strict-Hit@10,AliasAwareFusion,WithoutText,2034,221,0.9513274336283186,0.8384136348738118,0.11291379875450673,0.09528486431229737,0.1311313400827153,4.999750012499375e-05,5.99970001499925e-05,True
Strict-Hit@10,AliasAwareFusion,WithoutEntity,2034,221,0.9513274336283186,0.8815142576204523,0.06981317600786627,0.05420175232280899,0.08566546150795255,4.999750012499375e-05,5.99970001499925e-05,True
Strict-Hit@10,AliasAwareFusion,WithoutPhrase,2034,221,0.9513274336283186,0.9401835463782368,0.01114388725008194,0.004190598970055446,0.01855608305067798,0.0025498725063746812,0.0026998650067496625,True
Strict-MRR@10,AliasAwareFusion,WithoutText,2034,221,0.8354003111131921,0.6445504466399254,0.19084986447326666,0.16904788619597264,0.21284675321445645,4.999750012499375e-05,5.99970001499925e-05,True
Strict-MRR@10,AliasAwareFusion,WithoutEntity,2034,221,0.8354003111131921,0.7441363877573316,0.09126392335586042,0.07618915588869292,0.10684771813351926,4.999750012499375e-05,5.99970001499925e-05,True
Strict-MRR@10,AliasAwareFusion,WithoutPhrase,2034,221,0.8354003111131921,0.8122302471737084,0.0231700639394838,0.015398623566727014,0.031077075066547527,4.999750012499375e-05,5.99970001499925e-05,True
Strict-Recall@10,AliasAwareFusion,WithoutText,2034,221,0.9513274336283186,0.8384136348738118,0.11291379875450673,0.09487876398186518,0.13146006956568973,4.999750012499375e-05,5.99970001499925e-05,True
Strict-Recall@10,AliasAwareFusion,WithoutEntity,2034,221,0.9513274336283186,0.8815142576204523,0.06981317600786627,0.05411471677462375,0.08591578088105967,4.999750012499375e-05,5.99970001499925e-05,True
Strict-Recall@10,AliasAwareFusion,WithoutPhrase,2034,221,0.9513274336283186,0.9401835463782368,0.01114388725008194,0.004209502966768761,0.0185354138940606,0.0022998850057497125,0.0025873706314684265,True
nDCG@10,AliasAwareFusion,WithoutText,2034,221,0.6663128669756939,0.5295889885793962,0.1367238783962978,0.12197195047325204,0.15167452107483795,4.999750012499375e-05,5.99970001499925e-05,True
nDCG@10,AliasAwareFusion,WithoutEntity,2034,221,0.6663128669756939,0.6040466450023865,0.06226622197330749,0.05046918467123364,0.07423165829995576,4.999750012499375e-05,5.99970001499925e-05,True
nDCG@10,AliasAwareFusion,WithoutPhrase,2034,221,0.6663128669756939,0.6516837290310615,0.01462913794463232,0.00972887083562547,0.019525446354366364,4.999750012499375e-05,5.99970001499925e-05,True
