subset,model,k,metric,value_mean,value_std
all,AliasAwareFusion,1,Strict-Hit,0.7743362831858408,0.00273734727769422
all,AliasAwareFusion,1,Strict-MRR,0.7743362831858408,0.00273734727769422
all,AliasAwareFusion,1,Strict-Recall,0.7743362831858408,0.00273734727769422
all,AliasAwareFusion,1,nDCG,0.7822727911223487,0.002920441478619306
all,AliasAwareFusion,2,Strict-Hit,0.8470993117010815,0.004286036325998617
all,AliasAwareFusion,2,Strict-MRR,0.8107177974434611,0.0033794806009998205
all,AliasAwareFusion,2,Strict-Recall,0.8470993117010815,0.004286036325998617
all,AliasAwareFusion,2,nDCG,0.6719209640459556,0.0027199570996186643
all,AliasAwareFusion,3,Strict-Hit,0.8859390363815143,0.002458210422812246
all,AliasAwareFusion,3,Strict-MRR,0.8236643723369387,0.002827832501923467
all,AliasAwareFusion,3,Strict-Recall,0.8859390363815143,0.002458210422812246
all,AliasAwareFusion,3,nDCG,0.6353028378219158,0.0019577924063141814
all,AliasAwareFusion,4,Strict-Hit,0.9049491969845952,0.0024745442265718476
all,AliasAwareFusion,4,Strict-MRR,0.8284169124877089,0.0028269419862340384
all,AliasAwareFusion,4,Strict-Recall,0.9049491969845952,0.0024745442265718476
all,AliasAwareFusion,4,nDCG,0.6454830231100424,0.002041113220651771
all,AliasAwareFusion,5,Strict-Hit,0.9154375614552607,0.0026015253796112174
all,AliasAwareFusion,5,Strict-MRR,0.830514585381842,0.002757399223490052
all,AliasAwareFusion,5,Strict-Recall,0.9154375614552607,0.0026015253796112174
all,AliasAwareFusion,5,nDCG,0.6514308309212454,0.00211926128267912
all,AliasAwareFusion,6,Strict-Hit,0.9264175680104882,0.0019869478290696265
all,AliasAwareFusion,6,Strict-MRR,0.83234458647438,0.0027333503508489665
all,AliasAwareFusion,6,Strict-Recall,0.9264175680104882,0.0019869478290696265
all,AliasAwareFusion,6,nDCG,0.6556121222921866,0.002171361310892321
all,AliasAwareFusion,7,Strict-Hit,0.9342838413634874,0.0010234346113401863
all,AliasAwareFusion,7,Strict-MRR,0.8334683398105227,0.002482886715904669
all,AliasAwareFusion,7,Strict-Recall,0.9342838413634874,0.0010234346113401863
all,AliasAwareFusion,7,nDCG,0.6591569757779953,0.0018634688437490251
all,AliasAwareFusion,8,Strict-Hit,0.9408390691576533,0.0010234346113404842
all,AliasAwareFusion,8,Strict-MRR,0.8342877432847935,0.002359922674756394
all,AliasAwareFusion,8,Strict-Recall,0.9408390691576533,0.0010234346113404842
all,AliasAwareFusion,8,nDCG,0.6618985076608305,0.0017201520788018298
all,AliasAwareFusion,9,Strict-Hit,0.9465748934775484,0.000567699379734148
all,AliasAwareFusion,9,Strict-MRR,0.8349250570981152,0.0024995388739320877
all,AliasAwareFusion,9,Strict-Recall,0.9465748934775484,0.000567699379734148
all,AliasAwareFusion,9,nDCG,0.6645433611586008,0.001951028015496188
all,AliasAwareFusion,10,Strict-Hit,0.9513274336283186,0.0008515490696013101
all,AliasAwareFusion,10,Strict-MRR,0.8354003111131921,0.002524829262460042
all,AliasAwareFusion,10,Strict-Recall,0.9513274336283186,0.0008515490696013101
all,AliasAwareFusion,10,nDCG,0.6663128669756939,0.002033125807412424
all,WithoutEntity,1,Strict-Hit,0.676007866273353,0.0
all,WithoutEntity,1,Strict-MRR,0.676007866273353,0.0
all,WithoutEntity,1,Strict-Recall,0.676007866273353,0.0
all,WithoutEntity,1,nDCG,0.6848574237954769,0.0
all,WithoutEntity,2,Strict-Hit,0.7536873156342182,0.0
all,WithoutEntity,2,Strict-MRR,0.7148475909537857,0.0
all,WithoutEntity,2,Strict-Recall,0.7536873156342182,0.0
all,WithoutEntity,2,nDCG,0.5960846385794859,0.0
all,WithoutEntity,3,Strict-Hit,0.795968534906588,0.0
all,WithoutEntity,3,Strict-MRR,0.7289413307112421,0.0
all,WithoutEntity,3,Strict-Recall,0.795968534906588,0.0
all,WithoutEntity,3,nDCG,0.5662270661141212,0.0
all,WithoutEntity,4,Strict-Hit,0.8171091445427728,0.0
all,WithoutEntity,4,Strict-MRR,0.7342264831202884,0.0
all,WithoutEntity,4,Strict-Recall,0.8171091445427728,0.0
all,WithoutEntity,4,nDCG,0.5771572951846117,0.0
all,WithoutEntity,5,Strict-Hit,0.8328416912487709,0.0
all,WithoutEntity,5,Strict-MRR,0.7373729924614881,0.0
all,WithoutEntity,5,Strict-Recall,0.8328416912487709,0.0
all,WithoutEntity,5,nDCG,0.584900168818283,0.0
all,WithoutEntity,6,Strict-Hit,0.8480825958702066,0.0
all,WithoutEntity,6,Strict-MRR,0.7399131432317273,0.0
all,WithoutEntity,6,Strict-Recall,0.8480825958702066,0.0
all,WithoutEntity,6,nDCG,0.5913379752519013,0.0
all,WithoutEntity,7,Strict-Hit,0.8623402163225172,0.0
all,WithoutEntity,7,Strict-MRR,0.7419499461534859,0.0
all,WithoutEntity,7,Strict-Recall,0.8623402163225172,0.0
all,WithoutEntity,7,nDCG,0.5962975157901037,0.0
all,WithoutEntity,8,Strict-Hit,0.8706981317600787,0.0
all,WithoutEntity,8,Strict-MRR,0.7429946855831812,0.0
all,WithoutEntity,8,Strict-Recall,0.8706981317600787,0.0
all,WithoutEntity,8,nDCG,0.5997119203049818,0.0
all,WithoutEntity,9,Strict-Hit,0.8761061946902654,0.0
all,WithoutEntity,9,Strict-MRR,0.743595581464313,0.0
all,WithoutEntity,9,Strict-Recall,0.8761061946902654,0.0
all,WithoutEntity,9,nDCG,0.6018938129228623,0.0
all,WithoutEntity,10,Strict-Hit,0.8815142576204523,0.0
all,WithoutEntity,10,Strict-MRR,0.7441363877573317,0.0
all,WithoutEntity,10,Strict-Recall,0.8815142576204523,0.0
all,WithoutEntity,10,nDCG,0.6040466450023865,0.0
all,WithoutPhrase,1,Strict-Hit,0.743362831858407,0.0026015253796112174
all,WithoutPhrase,1,Strict-MRR,0.743362831858407,0.0026015253796112174
all,WithoutPhrase,1,Strict-Recall,0.743362831858407,0.0026015253796112174
all,WithoutPhrase,1,nDCG,0.7536873156342182,0.0026015253796112174
all,WithoutPhrase,2,Strict-Hit,0.8277613897082924,0.002216936948290514
all,WithoutPhrase,2,Strict-MRR,0.7855621107833497,0.001811975121885989
all,WithoutPhrase,2,Strict-Recall,0.8277613897082924,0.002216936948290514
all,WithoutPhrase,2,nDCG,0.6549542673507124,0.001418901225542342
all,WithoutPhrase,3,Strict-Hit,0.8669288757784334,0.002880759723245912
all,WithoutPhrase,3,Strict-MRR,0.7986179394733967,0.0023064910011521885
all,WithoutPhrase,3,Strict-Recall,0.8669288757784334,0.002880759723245912
all,WithoutPhrase,3,nDCG,0.6198970818803694,0.0017666155379045152
all,WithoutPhrase,4,Strict-Hit,0.8903638151425762,0.0013007626898055694
all,WithoutPhrase,4,Strict-MRR,0.8044766743144325,0.001874954391237264
all,WithoutPhrase,4,Strict-Recall,0.8903638151425762,0.0013007626898055694
all,WithoutPhrase,4,nDCG,0.6307857617531482,0.0013993902235677504
all,WithoutPhrase,5,Strict-Hit,0.9038020321206162,0.0019869478290694127
all,WithoutPhrase,5,Strict-MRR,0.8071643177100404,0.0018584810219923126
all,WithoutPhrase,5,Strict-Recall,0.9038020321206162,0.0019869478290694127
all,WithoutPhrase,5,nDCG,0.6366001007605923,0.0014762764516211854
all,WithoutPhrase,6,Strict-Hit,0.9157653228449689,0.002046869222680519
all,WithoutPhrase,6,Strict-MRR,0.8091581994974325,0.0016648684340212299
all,WithoutPhrase,6,Strict-Recall,0.9157653228449689,0.002046869222680519
all,WithoutPhrase,6,nDCG,0.6410264392463598,0.0014247831886348206
all,WithoutPhrase,7,Strict-Hit,0.9251065224516551,0.001237272113285898
all,WithoutPhrase,7,Strict-MRR,0.8104926565841021,0.0016381606350555442
all,WithoutPhrase,7,Strict-Recall,0.9251065224516551,0.001237272113285898
all,WithoutPhrase,7,nDCG,0.645219456136135,0.00117441143692121
all,WithoutPhrase,8,Strict-Hit,0.9318256309406752,0.0015019913782222283
all,WithoutPhrase,8,Strict-MRR,0.8113325451452296,0.0017655461044865685
all,WithoutPhrase,8,Strict-Recall,0.9318256309406752,0.0015019913782222283
all,WithoutPhrase,8,nDCG,0.6479650040021597,0.0013890204604281521
all,WithoutPhrase,9,Strict-Hit,0.9373975745657162,0.001135398759468408
all,WithoutPhrase,9,Strict-MRR,0.8119516499924563,0.0017060241702379691
all,WithoutPhrase,9,Strict-Recall,0.9373975745657162,0.001135398759468408
all,WithoutPhrase,9,nDCG,0.6502011139151784,0.0010367155398103302
all,WithoutPhrase,10,Strict-Hit,0.9401835463782366,0.001986947829069528
all,WithoutPhrase,10,Strict-MRR,0.8122302471737083,0.0017921865467381481
all,WithoutPhrase,10,Strict-Recall,0.9401835463782366,0.001986947829069528
all,WithoutPhrase,10,nDCG,0.6516837290310615,0.0012108521329271666
all,WithoutText,1,Strict-Hit,0.5467059980334317,0.003070303834020879
all,WithoutText,1,Strict-MRR,0.5467059980334317,0.003070303834020879
all,WithoutText,1,Strict-Recall,0.5467059980334317,0.003070303834020879
all,WithoutText,1,nDCG,0.5565388397246805,0.0029523598197757476
all,WithoutText,2,Strict-Hit,0.662569649295313,0.0027077534647424457
all,WithoutText,2,Strict-MRR,0.6046378236643722,0.0003754978445555548
all,WithoutText,2,Strict-Recall,0.662569649295313,0.0027077534647424457
all,WithoutText,2,nDCG,0.5065789151070841,0.0003408302210766458
all,WithoutText,3,Strict-Hit,0.7137004260898067,0.0005676993797341239
all,WithoutText,3,Strict-MRR,0.6216814159292036,0.0012877936451575168
all,WithoutText,3,Strict-Recall,0.7137004260898067,0.0005676993797341239
all,WithoutText,3,nDCG,0.48624185657085284,0.0008849802943712464
all,WithoutText,4,Strict-Hit,0.7522123893805309,0.0004916420845624964
all,WithoutText,4,Strict-MRR,0.6313094067518846,0.0010533398993922316
all,WithoutText,4,Strict-Recall,0.7522123893805309,0.0004916420845624964
all,WithoutText,4,nDCG,0.5007291088148983,0.0004457446533635931
all,WithoutText,5,Strict-Hit,0.7774500163880695,0.0007509956891110703
all,WithoutText,5,Strict-MRR,0.6363569321533923,0.0010035936541626946
all,WithoutText,5,Strict-Recall,0.7774500163880695,0.0007509956891110703
all,WithoutText,5,nDCG,0.5095692185553449,0.0004977146014440385
all,WithoutText,6,Strict-Hit,0.7941658472631924,0.000567699379734148
all,WithoutText,6,Strict-MRR,0.6391429039659128,0.0011451438394270257
all,WithoutText,6,Strict-Recall,0.7941658472631924,0.000567699379734148
all,WithoutText,6,nDCG,0.5161372704587199,0.0006809174985304419
all,WithoutText,7,Strict-Hit,0.8082595870206489,0.000491642084562427
all,WithoutText,7,Strict-MRR,0.6411562953598351,0.001123362466359668
all,WithoutText,7,Strict-Recall,0.8082595870206489,0.000491642084562427
all,WithoutText,7,nDCG,0.5204132469655262,0.0007513289119292156
