stage,text_score,joint_entity_score,phrase_score,mean_inner_mrr_at_10
coarse_0.10,0.0,0.0,1.0,0.3818496763706207
coarse_0.10,0.0,0.1,0.9,0.6195576786994934
coarse_0.10,0.0,0.2,0.8,0.6201374530792236
coarse_0.10,0.0,0.3,0.7,0.6247671842575073
coarse_0.10,0.0,0.4,0.6,0.6340248584747314
coarse_0.10,0.0,0.5,0.5,0.6395995020866394
coarse_0.10,0.0,0.6,0.4,0.6458840370178223
coarse_0.10,0.0,0.7,0.3,0.6451410055160522
coarse_0.10,0.0,0.8,0.2,0.6420496702194214
coarse_0.10,0.0,0.9,0.1,0.6259415745735168
coarse_0.10,0.0,1.0,0.0,0.5279858708381653
refined_0.02,0.0,0.5,0.5,0.6395995020866394
refined_0.02,0.0,0.52,0.48,0.6401882171630859
refined_0.02,0.0,0.54,0.46,0.6427087783813477
refined_0.02,0.0,0.56,0.44,0.6433087587356567
refined_0.02,0.0,0.58,0.42,0.6439722180366516
refined_0.02,0.0,0.6,0.4,0.6458840370178223
refined_0.02,0.0,0.62,0.38,0.6459912657737732
refined_0.02,0.0,0.64,0.36,0.645758867263794
refined_0.02,0.0,0.66,0.34,0.6448906064033508
refined_0.02,0.0,0.68,0.32,0.6454532146453857
refined_0.02,0.0,0.7,0.3,0.6451410055160522
