subset,model,k,metric,value,n_questions
all,AliasAwareFusion,1,Strict-Hit,0.7718780727630286,2034
all,AliasAwareFusion,1,Strict-Recall,0.7718780727630286,2034
all,AliasAwareFusion,1,Strict-MRR,0.7718780727630286,2034
all,AliasAwareFusion,1,nDCG,0.779463407781992,2034
all,AliasAwareFusion,2,Strict-Hit,0.8421828908554573,2034
all,AliasAwareFusion,2,Strict-Recall,0.8421828908554573,2034
all,AliasAwareFusion,2,Strict-MRR,0.8070304818092429,2034
all,AliasAwareFusion,2,nDCG,0.6689072762321856,2034
all,AliasAwareFusion,3,Strict-Hit,0.883480825958702,2034
all,AliasAwareFusion,3,Strict-Recall,0.883480825958702,2034
all,AliasAwareFusion,3,Strict-MRR,0.8207964601769911,2034
all,AliasAwareFusion,3,nDCG,0.6333465389848201,2034
all,AliasAwareFusion,4,Strict-Hit,0.9026548672566371,2034
all,AliasAwareFusion,4,Strict-Recall,0.9026548672566371,2034
all,AliasAwareFusion,4,Strict-MRR,0.825589970501475,2034
all,AliasAwareFusion,4,nDCG,0.6435328612109878,2034
all,AliasAwareFusion,5,Strict-Hit,0.9124877089478859,2034
all,AliasAwareFusion,5,Strict-Recall,0.9124877089478859,2034
all,AliasAwareFusion,5,Strict-MRR,0.8275565388397247,2034
all,AliasAwareFusion,5,nDCG,0.6490776905594083,2034
all,AliasAwareFusion,6,Strict-Hit,0.9242871189773845,2034
all,AliasAwareFusion,6,Strict-Recall,0.9242871189773845,2034
all,AliasAwareFusion,6,Strict-MRR,0.8295231071779744,2034
all,AliasAwareFusion,6,nDCG,0.6533758544075672,2034
all,AliasAwareFusion,7,Strict-Hit,0.9346116027531957,2034
all,AliasAwareFusion,7,Strict-Recall,0.9346116027531957,2034
all,AliasAwareFusion,7,Strict-MRR,0.8309980334316618,2034
all,AliasAwareFusion,7,nDCG,0.6573406365953262,2034
all,AliasAwareFusion,8,Strict-Hit,0.9419862340216323,2034
all,AliasAwareFusion,8,Strict-Recall,0.9419862340216323,2034
all,AliasAwareFusion,8,Strict-MRR,0.8319198623402163,2034
all,AliasAwareFusion,8,nDCG,0.6601667344433241,2034
all,AliasAwareFusion,9,Strict-Hit,0.9459193706981318,2034
all,AliasAwareFusion,9,Strict-Recall,0.9459193706981318,2034
all,AliasAwareFusion,9,Strict-MRR,0.832356877526494,2034
all,AliasAwareFusion,9,nDCG,0.6625315238299301,2034
all,AliasAwareFusion,10,Strict-Hit,0.9503441494591937,2034
all,AliasAwareFusion,10,Strict-Recall,0.9503441494591937,2034
all,AliasAwareFusion,10,Strict-MRR,0.8327993554026002,2034
all,AliasAwareFusion,10,nDCG,0.6641388572661188,2034
all,WithoutEntity,1,Strict-Hit,0.676007866273353,2034
all,WithoutEntity,1,Strict-Recall,0.676007866273353,2034
all,WithoutEntity,1,Strict-MRR,0.676007866273353,2034
all,WithoutEntity,1,nDCG,0.6848574237954769,2034
all,WithoutEntity,2,Strict-Hit,0.7536873156342183,2034
all,WithoutEntity,2,Strict-Recall,0.7536873156342183,2034
all,WithoutEntity,2,Strict-MRR,0.7148475909537857,2034
all,WithoutEntity,2,nDCG,0.5960846385794859,2034
all,WithoutEntity,3,Strict-Hit,0.795968534906588,2034
all,WithoutEntity,3,Strict-Recall,0.795968534906588,2034
all,WithoutEntity,3,Strict-MRR,0.7289413307112421,2034
all,WithoutEntity,3,nDCG,0.5662270661141212,2034
all,WithoutEntity,4,Strict-Hit,0.8171091445427728,2034
all,WithoutEntity,4,Strict-Recall,0.8171091445427728,2034
all,WithoutEntity,4,Strict-MRR,0.7342264831202884,2034
all,WithoutEntity,4,nDCG,0.5771572951846117,2034
all,WithoutEntity,5,Strict-Hit,0.8328416912487709,2034
all,WithoutEntity,5,Strict-Recall,0.8328416912487709,2034
all,WithoutEntity,5,Strict-MRR,0.737372992461488,2034
all,WithoutEntity,5,nDCG,0.584900168818283,2034
all,WithoutEntity,6,Strict-Hit,0.8480825958702065,2034
all,WithoutEntity,6,Strict-Recall,0.8480825958702065,2034
all,WithoutEntity,6,Strict-MRR,0.7399131432317273,2034
all,WithoutEntity,6,nDCG,0.5913379752519013,2034
all,WithoutEntity,7,Strict-Hit,0.8623402163225172,2034
all,WithoutEntity,7,Strict-Recall,0.8623402163225172,2034
all,WithoutEntity,7,Strict-MRR,0.741949946153486,2034
all,WithoutEntity,7,nDCG,0.5962975157901037,2034
all,WithoutEntity,8,Strict-Hit,0.8706981317600787,2034
all,WithoutEntity,8,Strict-Recall,0.8706981317600787,2034
all,WithoutEntity,8,Strict-MRR,0.7429946855831812,2034
all,WithoutEntity,8,nDCG,0.5997119203049818,2034
all,WithoutEntity,9,Strict-Hit,0.8761061946902655,2034
all,WithoutEntity,9,Strict-Recall,0.8761061946902655,2034
all,WithoutEntity,9,Strict-MRR,0.743595581464313,2034
all,WithoutEntity,9,nDCG,0.6018938129228623,2034
all,WithoutEntity,10,Strict-Hit,0.8815142576204523,2034
all,WithoutEntity,10,Strict-Recall,0.8815142576204523,2034
all,WithoutEntity,10,Strict-MRR,0.7441363877573317,2034
all,WithoutEntity,10,nDCG,0.6040466450023865,2034
all,WithoutPhrase,1,Strict-Hit,0.7453294001966568,2034
all,WithoutPhrase,1,Strict-Recall,0.7453294001966568,2034
all,WithoutPhrase,1,Strict-MRR,0.7453294001966568,2034
all,WithoutPhrase,1,nDCG,0.755653883972468,2034
all,WithoutPhrase,2,Strict-Hit,0.8298918387413963,2034
all,WithoutPhrase,2,Strict-Recall,0.8298918387413963,2034
all,WithoutPhrase,2,Strict-MRR,0.7876106194690266,2034
all,WithoutPhrase,2,nDCG,0.6565799106124648,2034
all,WithoutPhrase,3,Strict-Hit,0.8702064896755162,2034
all,WithoutPhrase,3,Strict-Recall,0.8702064896755162,2034
all,WithoutPhrase,3,Strict-MRR,0.8010488364470666,2034
all,WithoutPhrase,3,nDCG,0.6218994913950205,2034
all,WithoutPhrase,4,Strict-Hit,0.8918387413962635,2034
all,WithoutPhrase,4,Strict-Recall,0.8918387413962635,2034
all,WithoutPhrase,4,Strict-MRR,0.8064568993772534,2034
all,WithoutPhrase,4,nDCG,0.6324012362698039,2034
all,WithoutPhrase,5,Strict-Hit,0.9056047197640118,2034
all,WithoutPhrase,5,Strict-Recall,0.9056047197640118,2034
all,WithoutPhrase,5,Strict-MRR,0.809210095050803,2034
all,WithoutPhrase,5,nDCG,0.6382053593104715,2034
all,WithoutPhrase,6,Strict-Hit,0.9164208456243854,2034
all,WithoutPhrase,6,Strict-Recall,0.9164208456243854,2034
all,WithoutPhrase,6,Strict-MRR,0.8110127826941986,2034
all,WithoutPhrase,6,nDCG,0.6424761157226386,2034
all,WithoutPhrase,7,Strict-Hit,0.9252704031465093,2034
all,WithoutPhrase,7,Strict-Recall,0.9252704031465093,2034
all,WithoutPhrase,7,Strict-MRR,0.8122770051973591,2034
all,WithoutPhrase,7,nDCG,0.6465148019840573,2034
all,WithoutPhrase,8,Strict-Hit,0.9331366764995084,2034
all,WithoutPhrase,8,Strict-Recall,0.9331366764995084,2034
all,WithoutPhrase,8,Strict-MRR,0.813260289366484,2034
all,WithoutPhrase,8,nDCG,0.6495404782914691,2034
all,WithoutPhrase,9,Strict-Hit,0.9380530973451328,2034
all,WithoutPhrase,9,Strict-Recall,0.9380530973451328,2034
all,WithoutPhrase,9,Strict-MRR,0.8138065583493312,2034
all,WithoutPhrase,9,nDCG,0.6513524600264539,2034
all,WithoutPhrase,10,Strict-Hit,0.9419862340216323,2034
all,WithoutPhrase,10,Strict-Recall,0.9419862340216323,2034
all,WithoutPhrase,10,Strict-MRR,0.814199872016981,2034
all,WithoutPhrase,10,nDCG,0.6530327792039278,2034
all,WithoutText,1,Strict-Hit,0.5442477876106194,2034
all,WithoutText,1,Strict-Recall,0.5442477876106194,2034
all,WithoutText,1,Strict-MRR,0.5442477876106194,2034
all,WithoutText,1,nDCG,0.5541508638853773,2034
all,WithoutText,2,Strict-Hit,0.6651917404129793,2034
all,WithoutText,2,Strict-Recall,0.6651917404129793,2034
all,WithoutText,2,Strict-MRR,0.6047197640117994,2034
all,WithoutText,2,nDCG,0.5069303624848238,2034
all,WithoutText,3,Strict-Hit,0.7133726647000983,2034
all,WithoutText,3,Strict-Recall,0.7133726647000983,2034
all,WithoutText,3,Strict-MRR,0.6207800721075056,2034
all,WithoutText,3,nDCG,0.48560722991691857,2034
all,WithoutText,4,Strict-Hit,0.7522123893805309,2034
all,WithoutText,4,Strict-Recall,0.7522123893805309,2034
all,WithoutText,4,Strict-MRR,0.6304900032776138,2034
all,WithoutText,4,nDCG,0.5004051107442054,2034
all,WithoutText,5,Strict-Hit,0.7782694198623402,2034
all,WithoutText,5,Strict-Recall,0.7782694198623402,2034
all,WithoutText,5,Strict-MRR,0.6357014093739758,2034
all,WithoutText,5,nDCG,0.5091880253706259,2034
all,WithoutText,6,Strict-Hit,0.7944936086529006,2034
all,WithoutText,6,Strict-Recall,0.7944936086529006,2034
all,WithoutText,6,Strict-MRR,0.6384054408390691,2034
all,WithoutText,6,nDCG,0.5156162092934042,2034
all,WithoutText,7,Strict-Hit,0.8077679449360865,2034
all,WithoutText,7,Strict-Recall,0.8077679449360865,2034
all,WithoutText,7,Strict-MRR,0.64030177459381,2034
all,WithoutText,7,nDCG,0.5197622363883243,2034
all,WithoutText,8,Strict-Hit,0.8205506391347099,2034
all,WithoutText,8,Strict-Recall,0.8205506391347099,2034
all,WithoutText,8,Strict-MRR,0.6418996113686379,2034
all,WithoutText,8,nDCG,0.5237007576585325,2034
all,WithoutText,9,Strict-Hit,0.828416912487709,2034
all,WithoutText,9,Strict-Recall,0.828416912487709,2034
all,WithoutText,9,Strict-MRR,0.6427736417411934,2034
all,WithoutText,9,nDCG,0.5263612706655879,2034
all,WithoutText,10,Strict-Hit,0.839724680432645,2034
all,WithoutText,10,Strict-Recall,0.839724680432645,2034
all,WithoutText,10,Strict-MRR,0.643904418535687,2034
all,WithoutText,10,nDCG,0.5294489131411577,2034
changed,AliasAwareFusion,1,Strict-Hit,0.759941089837997,679
changed,AliasAwareFusion,1,Strict-Recall,0.759941089837997,679
changed,AliasAwareFusion,1,Strict-MRR,0.759941089837997,679
changed,AliasAwareFusion,1,nDCG,0.7687776141384389,679
changed,AliasAwareFusion,2,Strict-Hit,0.8321060382916053,679
changed,AliasAwareFusion,2,Strict-Recall,0.8321060382916053,679
changed,AliasAwareFusion,2,Strict-MRR,0.7960235640648011,679
changed,AliasAwareFusion,2,nDCG,0.6651238910982052,679
changed,AliasAwareFusion,3,Strict-Hit,0.882179675994109,679
changed,AliasAwareFusion,3,Strict-Recall,0.882179675994109,679
changed,AliasAwareFusion,3,Strict-MRR,0.8127147766323025,679
changed,AliasAwareFusion,3,nDCG,0.6280120408105846,679
changed,AliasAwareFusion,4,Strict-Hit,0.9086892488954345,679
changed,AliasAwareFusion,4,Strict-Recall,0.9086892488954345,679
changed,AliasAwareFusion,4,Strict-MRR,0.8193421698576339,679
changed,AliasAwareFusion,4,nDCG,0.6398498226952097,679
changed,AliasAwareFusion,5,Strict-Hit,0.9175257731958762,679
changed,AliasAwareFusion,5,Strict-Recall,0.9175257731958762,679
changed,AliasAwareFusion,5,Strict-MRR,0.8211094747177221,679
changed,AliasAwareFusion,5,nDCG,0.6455802286393298,679
changed,AliasAwareFusion,6,Strict-Hit,0.9263622974963182,679
changed,AliasAwareFusion,6,Strict-Recall,0.9263622974963182,679
changed,AliasAwareFusion,6,Strict-MRR,0.8225822287677957,679
changed,AliasAwareFusion,6,nDCG,0.6491738869567538,679
changed,AliasAwareFusion,7,Strict-Hit,0.9366715758468336,679
changed,AliasAwareFusion,7,Strict-Recall,0.9366715758468336,679
changed,AliasAwareFusion,7,Strict-MRR,0.8240549828178694,679
changed,AliasAwareFusion,7,nDCG,0.6530330454178201,679
changed,AliasAwareFusion,8,Strict-Hit,0.9455081001472754,679
changed,AliasAwareFusion,8,Strict-Recall,0.9455081001472754,679
changed,AliasAwareFusion,8,Strict-MRR,0.8251595483554246,679
changed,AliasAwareFusion,8,nDCG,0.6563858665177706,679
changed,AliasAwareFusion,9,Strict-Hit,0.9499263622974963,679
changed,AliasAwareFusion,9,Strict-Recall,0.9499263622974963,679
changed,AliasAwareFusion,9,Strict-MRR,0.8256504663721159,679
changed,AliasAwareFusion,9,nDCG,0.6595292497872588,679
changed,AliasAwareFusion,10,Strict-Hit,0.9528718703976435,679
changed,AliasAwareFusion,10,Strict-Recall,0.9528718703976435,679
changed,AliasAwareFusion,10,Strict-MRR,0.8259450171821305,679
changed,AliasAwareFusion,10,nDCG,0.6608400706127795,679
changed,WithoutEntity,1,Strict-Hit,0.6067746686303387,679
changed,WithoutEntity,1,Strict-Recall,0.6067746686303387,679
changed,WithoutEntity,1,Strict-MRR,0.6067746686303387,679
changed,WithoutEntity,1,nDCG,0.620660635388176,679
changed,WithoutEntity,2,Strict-Hit,0.6907216494845361,679
changed,WithoutEntity,2,Strict-Recall,0.6907216494845361,679
changed,WithoutEntity,2,Strict-MRR,0.6487481590574374,679
changed,WithoutEntity,2,nDCG,0.5528170047404423,679
changed,WithoutEntity,3,Strict-Hit,0.7363770250368189,679
changed,WithoutEntity,3,Strict-Recall,0.7363770250368189,679
changed,WithoutEntity,3,Strict-MRR,0.663966617574865,679
changed,WithoutEntity,3,nDCG,0.5245213714826182,679
changed,WithoutEntity,4,Strict-Hit,0.7525773195876289,679
changed,WithoutEntity,4,Strict-Recall,0.7525773195876289,679
changed,WithoutEntity,4,Strict-MRR,0.6680166912125675,679
changed,WithoutEntity,4,nDCG,0.533415699758008,679
changed,WithoutEntity,5,Strict-Hit,0.7746686303387335,679
changed,WithoutEntity,5,Strict-Recall,0.7746686303387335,679
changed,WithoutEntity,5,Strict-MRR,0.6724349533627885,679
changed,WithoutEntity,5,nDCG,0.5442318767327483,679
changed,WithoutEntity,6,Strict-Hit,0.7997054491899853,679
changed,WithoutEntity,6,Strict-Recall,0.7997054491899853,679
changed,WithoutEntity,6,Strict-MRR,0.6766077565046638,679
changed,WithoutEntity,6,nDCG,0.5531622003191778,679
changed,WithoutEntity,7,Strict-Hit,0.8173784977908689,679
changed,WithoutEntity,7,Strict-Recall,0.8173784977908689,679
changed,WithoutEntity,7,Strict-MRR,0.6791324777333614,679
changed,WithoutEntity,7,nDCG,0.5589358569332812,679
changed,WithoutEntity,8,Strict-Hit,0.8247422680412371,679
changed,WithoutEntity,8,Strict-Recall,0.8247422680412371,679
changed,WithoutEntity,8,Strict-MRR,0.6800529490146574,679
changed,WithoutEntity,8,nDCG,0.5618658736896168,679
changed,WithoutEntity,9,Strict-Hit,0.8321060382916053,679
changed,WithoutEntity,9,Strict-Recall,0.8321060382916053,679
changed,WithoutEntity,9,Strict-MRR,0.6808711457091428,679
changed,WithoutEntity,9,nDCG,0.5648098400462287,679
changed,WithoutEntity,10,Strict-Hit,0.8379970544918999,679
changed,WithoutEntity,10,Strict-Recall,0.8379970544918999,679
