metric,baseline,comparison,n_questions,n_source_groups,manual_mean,comparison_mean,mean_difference,cluster_bootstrap_ci95_low,cluster_bootstrap_ci95_high,group_sign_permutation_p,p_fdr_bh,significant_0.05
Strict-Hit@1,AliasAwareFusion,WithoutText,2034,221,0.7738446411012783,0.5501474926253688,0.22369714847590955,0.19665271966527198,0.2508834369096196,4.999750012499375e-05,5.99970001499925e-05,True
Strict-Hit@1,AliasAwareFusion,WithoutEntity,2034,221,0.7738446411012783,0.676007866273353,0.09783677482792527,0.07932662516899504,0.11678852415092193,4.999750012499375e-05,5.99970001499925e-05,True
Strict-Hit@1,AliasAwareFusion,WithoutPhrase,2034,221,0.7738446411012783,0.7404129793510325,0.03343166175024582,0.02091435065319347,0.04623264292024995,4.999750012499375e-05,5.99970001499925e-05,True
Strict-Hit@5,AliasAwareFusion,WithoutText,2034,221,0.9174041297935103,0.7767944936086529,0.14060963618485742,0.1187437299837412,0.1631526714638131,4.999750012499375e-05,5.99970001499925e-05,True
Strict-Hit@5,AliasAwareFusion,WithoutEntity,2034,221,0.9174041297935103,0.8328416912487709,0.08456243854473942,0.06691758704915639,0.10244888378321661,4.999750012499375e-05,5.99970001499925e-05,True
Strict-Hit@5,AliasAwareFusion,WithoutPhrase,2034,221,0.9174041297935103,0.9041297935103245,0.01327433628318584,0.0046801689568752615,0.022040082214659962,0.004949752512374382,0.004949752512374382,True
Strict-Hit@10,AliasAwareFusion,WithoutText,2034,221,0.951819075712881,0.8387413962635202,0.11307767944936087,0.09516576195028013,0.13159226154699938,4.999750012499375e-05,5.99970001499925e-05,True
Strict-Hit@10,AliasAwareFusion,WithoutEntity,2034,221,0.951819075712881,0.8815142576204523,0.07030481809242871,0.05488319897929595,0.08603326581778209,4.999750012499375e-05,5.99970001499925e-05,True
Strict-Hit@10,AliasAwareFusion,WithoutPhrase,2034,221,0.951819075712881,0.9405113077679449,0.011307767944936086,0.004129991589105296,0.018904532114029943,0.003799810009499525,0.004274786260686966,True
Strict-MRR@10,AliasAwareFusion,WithoutText,2034,221,0.8355601598226967,0.6458620124549328,0.18969814736776386,0.16758895482275754,0.21206253866444025,4.999750012499375e-05,5.99970001499925e-05,True
Strict-MRR@10,AliasAwareFusion,WithoutEntity,2034,221,0.8355601598226967,0.7441363877573317,0.09142377206536499,0.07658288575768528,0.10674759404932263,4.999750012499375e-05,5.99970001499925e-05,True
Strict-MRR@10,AliasAwareFusion,WithoutPhrase,2034,221,0.8355601598226967,0.8106955564920166,0.024864603330680028,0.01695828248567778,0.03290804774146316,4.999750012499375e-05,5.99970001499925e-05,True
Strict-Recall@10,AliasAwareFusion,WithoutText,2034,221,0.951819075712881,0.8387413962635202,0.11307767944936087,0.09466909264385841,0.13181210627527595,4.999750012499375e-05,5.99970001499925e-05,True
Strict-Recall@10,AliasAwareFusion,WithoutEntity,2034,221,0.951819075712881,0.8815142576204523,0.07030481809242871,0.05469468142432725,0.08629980255806503,4.999750012499375e-05,5.99970001499925e-05,True
Strict-Recall@10,AliasAwareFusion,WithoutPhrase,2034,221,0.951819075712881,0.9405113077679449,0.011307767944936086,0.004121427799085364,0.019032940639517017,0.004349782510874456,0.00460565207033766,True
nDCG@10,AliasAwareFusion,WithoutText,2034,221,0.6666324984625757,0.5303993675153662,0.13623313094720937,0.12129238122507054,0.15129221243513546,4.999750012499375e-05,5.99970001499925e-05,True
nDCG@10,AliasAwareFusion,WithoutEntity,2034,221,0.6666324984625757,0.6040466450023865,0.06258585346018923,0.05093851984754709,0.07431588552252916,4.999750012499375e-05,5.99970001499925e-05,True
nDCG@10,AliasAwareFusion,WithoutPhrase,2034,221,0.6666324984625757,0.6513273400965063,0.015305158366069316,0.010293317751390417,0.020268142775951244,4.999750012499375e-05,5.99970001499925e-05,True
