stage,text_score,joint_entity_score,phrase_score,mean_inner_mrr_at_10
coarse_0.10,0.0,0.0,1.0,0.3818496763706207
coarse_0.10,0.0,0.1,0.9,0.6208330392837524
coarse_0.10,0.0,0.2,0.8,0.6214128136634827
coarse_0.10,0.0,0.3,0.7,0.6265284419059753
coarse_0.10,0.0,0.4,0.6,0.6349819898605347
coarse_0.10,0.0,0.5,0.5,0.6403561234474182
coarse_0.10,0.0,0.6,0.4,0.6474690437316895
coarse_0.10,0.0,0.7,0.3,0.6481416821479797
coarse_0.10,0.0,0.8,0.2,0.6431195139884949
coarse_0.10,0.0,0.9,0.1,0.6270313858985901
coarse_0.10,0.0,1.0,0.0,0.5268925428390503
coarse_0.10,0.1,0.0,0.9,0.6936671733856201
coarse_0.10,0.1,0.1,0.8,0.7188507318496704
coarse_0.10,0.1,0.2,0.7,0.7097988724708557
coarse_0.10,0.1,0.3,0.6,0.7130439877510071
coarse_0.10,0.1,0.4,0.5,0.7151501178741455
coarse_0.10,0.1,0.5,0.4,0.7196200489997864
coarse_0.10,0.1,0.6,0.3,0.7231654524803162
coarse_0.10,0.1,0.7,0.2,0.7240706086158752
coarse_0.10,0.1,0.8,0.1,0.721047580242157
coarse_0.10,0.1,0.9,0.0,0.6840444207191467
coarse_0.10,0.2,0.0,0.8,0.6936671733856201
coarse_0.10,0.2,0.1,0.7,0.7177929878234863
coarse_0.10,0.2,0.2,0.6,0.7273398637771606
coarse_0.10,0.2,0.3,0.5,0.7382144927978516
coarse_0.10,0.2,0.4,0.4,0.7434163689613342
coarse_0.10,0.2,0.5,0.3,0.7510373592376709
coarse_0.10,0.2,0.6,0.2,0.7590429782867432
coarse_0.10,0.2,0.7,0.1,0.7701373100280762
coarse_0.10,0.2,0.8,0.0,0.7345578670501709
coarse_0.10,0.3,0.0,0.7,0.6939742565155029
coarse_0.10,0.3,0.1,0.6,0.720547616481781
coarse_0.10,0.3,0.2,0.5,0.7380814552307129
coarse_0.10,0.3,0.3,0.4,0.7567839622497559
coarse_0.10,0.3,0.4,0.3,0.7734706401824951
coarse_0.10,0.3,0.5,0.2,0.7894853353500366
coarse_0.10,0.3,0.6,0.1,0.8059120178222656
coarse_0.10,0.3,0.7,0.0,0.7728150486946106
coarse_0.10,0.4,0.0,0.6,0.6964314579963684
coarse_0.10,0.4,0.1,0.5,0.7281284332275391
coarse_0.10,0.4,0.2,0.4,0.7539141178131104
coarse_0.10,0.4,0.3,0.3,0.7849763035774231
coarse_0.10,0.4,0.4,0.2,0.8113409280776978
coarse_0.10,0.4,0.5,0.1,0.8318324089050293
coarse_0.10,0.4,0.6,0.0,0.7968214154243469
coarse_0.10,0.5,0.0,0.5,0.7046793103218079
coarse_0.10,0.5,0.1,0.4,0.7485930919647217
coarse_0.10,0.5,0.2,0.3,0.7871453762054443
coarse_0.10,0.5,0.3,0.2,0.8162084817886353
coarse_0.10,0.5,0.4,0.1,0.8402998447418213
coarse_0.10,0.5,0.5,0.0,0.8134933114051819
coarse_0.10,0.6,0.0,0.4,0.7213112711906433
coarse_0.10,0.6,0.1,0.3,0.7774876356124878
coarse_0.10,0.6,0.2,0.2,0.8136639595031738
coarse_0.10,0.6,0.3,0.1,0.8381068706512451
coarse_0.10,0.6,0.4,0.0,0.8186379075050354
coarse_0.10,0.7,0.0,0.3,0.74314945936203
coarse_0.10,0.7,0.1,0.2,0.800862193107605
coarse_0.10,0.7,0.2,0.1,0.8310226202011108
coarse_0.10,0.7,0.3,0.0,0.8156577944755554
coarse_0.10,0.8,0.0,0.2,0.7597932815551758
coarse_0.10,0.8,0.1,0.1,0.8118150234222412
coarse_0.10,0.8,0.2,0.0,0.802132785320282
coarse_0.10,0.9,0.0,0.1,0.7531448602676392
coarse_0.10,0.9,0.1,0.0,0.7710944414138794
coarse_0.10,1.0,0.0,0.0,0.698915958404541
refined_0.02,0.4,0.4,0.2,0.8113409280776978
refined_0.02,0.4,0.42,0.18,0.8147867918014526
refined_0.02,0.4,0.44,0.16,0.8204862475395203
