stage,text_score,joint_entity_score,phrase_score,mean_inner_mrr_at_10
coarse_0.10,0.0,0.0,1.0,0.3696189522743225
coarse_0.10,0.1,0.0,0.9,0.6858363151550293
coarse_0.10,0.2,0.0,0.8,0.6858363151550293
coarse_0.10,0.3,0.0,0.7,0.6861449480056763
coarse_0.10,0.4,0.0,0.6,0.6880781650543213
coarse_0.10,0.5,0.0,0.5,0.6988440752029419
coarse_0.10,0.6,0.0,0.4,0.7146108150482178
coarse_0.10,0.7,0.0,0.3,0.7354508638381958
coarse_0.10,0.8,0.0,0.2,0.751805305480957
coarse_0.10,0.9,0.0,0.1,0.7426226735115051
coarse_0.10,1.0,0.0,0.0,0.6843297481536865
refined_0.02,0.7,0.0,0.3,0.7354508638381958
refined_0.02,0.72,0.0,0.28,0.7395845651626587
refined_0.02,0.74,0.0,0.26,0.7450392246246338
refined_0.02,0.76,0.0,0.24,0.7479435205459595
refined_0.02,0.78,0.0,0.22,0.7495911717414856
refined_0.02,0.8,0.0,0.2,0.751805305480957
refined_0.02,0.82,0.0,0.18,0.7534313201904297
refined_0.02,0.84,0.0,0.16,0.7520310878753662
refined_0.02,0.86,0.0,0.14,0.7524762153625488
refined_0.02,0.88,0.0,0.12,0.7504537105560303
refined_0.02,0.9,0.0,0.1,0.7426226735115051
