fold,model,Strict-Hit@1,Strict-Hit@5,Strict-Hit@10,Strict-MRR@10,Strict-Recall@10,nDCG@10
1,AliasAwareFusion,0.7635467980295566,0.9064039408866995,0.9433497536945813,0.826992923606224,0.9433497536945813,0.6593610177972969
1,WithoutEntity,0.6896551724137931,0.8448275862068966,0.8842364532019704,0.757350066463367,0.8842364532019704,0.6033958094907526
1,WithoutPhrase,0.7315270935960592,0.8891625615763546,0.9211822660098522,0.7978184377199156,0.9211822660098522,0.6386006401404959
1,WithoutText,0.5049261083743842,0.7512315270935961,0.8152709359605911,0.6054881147861444,0.8152709359605911,0.4996215583193882
2,AliasAwareFusion,0.8103448275862069,0.9211822660098522,0.9482758620689655,0.8599910078974118,0.9482758620689655,0.6816973535251145
2,WithoutEntity,0.6847290640394089,0.8448275862068966,0.8866995073891626,0.7518287199937446,0.8866995073891626,0.6139655060387723
2,WithoutPhrase,0.7857142857142857,0.9113300492610837,0.9359605911330049,0.8423322777386817,0.9359605911330049,0.6655839009612707
2,WithoutText,0.5246305418719212,0.7733990147783252,0.8325123152709359,0.634695832355931,0.8325123152709359,0.5280162456448122
3,AliasAwareFusion,0.8222222222222222,0.9259259259259259,0.9604938271604938,0.8677464236723496,0.9604938271604938,0.6755351738227473
3,WithoutEntity,0.7358024691358025,0.8691358024691358,0.8962962962962963,0.7931844013325494,0.8962962962962963,0.6284341939285513
3,WithoutPhrase,0.7950617283950617,0.9209876543209876,0.9580246913580247,0.8502478933960416,0.9580246913580247,0.6645518088193623
3,WithoutText,0.6024691358024692,0.817283950617284,0.8617283950617284,0.6896600039192632,0.8617283950617284,0.5550910686096477
4,AliasAwareFusion,0.7481662591687042,0.9095354523227384,0.9511002444987775,0.8182306826561105,0.9511002444987775,0.6593475623966414
4,WithoutEntity,0.6259168704156479,0.7775061124694377,0.8508557457212714,0.6935916094229053,0.8508557457212714,0.5733627663199253
4,WithoutPhrase,0.706601466992665,0.8924205378973105,0.9388753056234719,0.7890392750417201,0.9388753056234719,0.6401165068494494
4,WithoutText,0.5501222493887531,0.7603911980440098,0.8361858190709046,0.6406207552295572,0.8361858190709046,0.5268460143695282
5,AliasAwareFusion,0.7426470588235294,0.9191176470588235,0.9558823529411765,0.8165694055399938,0.9558823529411765,0.6649940675445635
5,WithoutEntity,0.6446078431372549,0.8284313725490197,0.8897058823529411,0.7253141534391535,0.8897058823529411,0.6013749065292994
5,WithoutPhrase,0.7034313725490197,0.8946078431372549,0.9362745098039216,0.779958372237784,0.9362745098039216,0.6447440547300762
5,WithoutText,0.5465686274509803,0.7843137254901961,0.8382352941176471,0.6490711562402739,0.8382352941176471,0.5350680254475385
